source,title,url,date,author,preview,matched_keywords,category
Construction Dive,Virginia’s new data center rules raise questions for construction,https://www.constructiondive.com/news/virginia-data-center-executive-order-questions-construction/831237/,"Thu, 24 Sep 2026 09:25:00 -0400",Sebastian Obando,"The biggest consequences from Gov. Abigail Spanberger’s executive order limiting state assistance and expedited permitting aren’t yet known, an attorney told Construction Dive.",data center,
Construction Dive,Cities get more say in data center development under new California laws,https://www.constructiondive.com/news/cities-get-more-say-in-data-center-development-under-new-california-laws/831114/,"Wed, 23 Sep 2026 09:11:00 -0400",Robyn Griggs Lawrence,"Data center developers must disclose energy and water use, pay more for grid infrastructure and undergo environmental review under seven bills Gov. Gavin Newsom signed into law Monday.",data center,
Construction Dive,The next data center bottleneck isn’t power. It’s public support.,https://www.constructiondive.com/news/the-next-data-center-bottleneck-isnt-power-its-public-support/831072/,"Wed, 23 Sep 2026 09:00:00 -0400",Craig Thompson,"The fact that even Texas has taken steps to slow the speed of data center development should be a wake-up call for the teams building them, writes an executive search professional.",data center,
For Construction Pros,Yanmar Becomes Majority Partner in AriensCo,https://www.forconstructionpros.com/business/labor-workforce-development/article/22974497/yanmar-usa-yanmar-becomes-majority-partner-in-ariensco,"Thu, 24 Sep 2026 01:30:00 -0500",For Construction Pros,"Yanmar Holdings Co. Ltd. will become the majority partner in AriensCo through a new strategic partnership between the two family-owned companies. AriensCo, based in Brillion, Wisconsin, will retain the Ariens family as a significant stakeholder, with the family continuing to lead operations and strategy. Both companies will maintain their existing brands, teams, manufacturing and distribution netw",automation,Business
For Construction Pros,The Human Side of Grade Control and How It Addresses the Labor Shortage,https://www.forconstructionpros.com/equipment/equipment-technology/grade-control/article/22974796/volvo-construction-equipment-the-human-side-of-grade-control-and-how-it-addresses-the-labor-shortage,"Wed, 23 Sep 2026 08:00:00 -0500",Matthew McLean,"The construction industry is weathering a perfect storm: The demand for infrastructure development is growing and residential development is slowly recovering. About 40% of the workforce is expected to retire in the next five years. And recruiting younger workers remains an uphill battle. For many contractors, addressing the labor shortage has been framed as “buying your way out of the problem” wi","accuracy, automation, bid, bidding, digital, estimat, retire, rework, shortage, workforce",Construction Technology
For Construction Pros,Crypto Adoption Grows Among Construction Contractors,https://www.forconstructionpros.com/business/business-services/training-education/article/22974083/national-cryptocurrency-association-crypto-adoption-grows-among-construction-contractors,"Tue, 22 Sep 2026 05:00:00 -0500",Ali Tager,"When thinking about who owns crypto, someone who works in finance or a computer-dominated field probably comes to mind. But these days, someone just as likely to own crypto is a foreman. Construction makes up 13% of U.S. crypto holders who work for a living, and what they do with crypto looks a lot like average, everyday transactions. From sending to family and friends to spending at the gas stati",retire,Business
For Construction Pros,Skanska Names Antonia Junelind CFO of USA Civil Operations,https://www.forconstructionpros.com/business/labor-workforce-development/article/22974185/skanska-skanska-names-antonia-junelind-cfo-of-usa-civil-operations,"Mon, 21 Sep 2026 10:00:00 -0500",For Construction Pros,"Skanska has appointed Antonia Junelind as chief financial officer of its USA Civil operations, effective Jan. 1, 2027. She will succeed Jari Mäntylä, who will shift his focus to strategic initiatives as he prepares for retirement. The two executives will work together during the transition. Junelind has more than 15 years of experience with Skanska, including roles in finance, investor relations, ",retire,Business
For Construction Pros,Construction Cash Flow Challenges Can Turn Growth into Financial Stress,https://www.forconstructionpros.com/business/business-services/business-management/article/22974078/coastal-debt-resolve-construction-cash-flow-challenges-can-turn-growth-into-financial-stress,"Mon, 21 Sep 2026 06:00:00 -0500",Nathan Mor,"Winning a major construction contract is often viewed as the ultimate measure of success. For specialty contractors, however, securing the work is only the beginning. The greater challenge is financing the project long before the first payment arrives. As Director of Settlement Operations at Coastal Debt Resolve, I've seen a recurring pattern: profitable construction companies struggling not becau","backlog, bid, change order, estimat, shortage",Business
For Construction Pros,Construction Demand Remains Strong but Growth is Concentrated in Key Areas,https://www.forconstructionpros.com/business/industry-trends/article/22974279/skanska-construction-demand-remains-strong-but-growth-is-concentrated-in-key-areas,"Sun, 20 Sep 2026 09:45:00 -0500",For Construction Pros,"Skanska’s Summer 2026 Construction Market Trends Report finds that U.S. construction demand remains stronger than anticipated, but growth is concentrated in sectors including data centers, infrastructure, power generation, advanced manufacturing, pharmaceutical production and select health care markets. Data center construction continues to drive a significant share of growth. Data centers account",data center,Business
For Construction Pros,Why Concrete Contractors Should Care About PERM Reform,https://www.forconstructionpros.com/concrete/slabs-and-flatwork/article/22973989/eb3work-understanding-perm-reform-for-concrete-contractors,"Sun, 20 Sep 2026 04:00:00 -0500",John Dorer,"In the business of pouring concrete, there’s not a lot of room for staffing issues. Once the pour is scheduled, the forms are ready and the trucks are coming, regardless, the crew has to be there. When a job is short on a finisher, laborer, or operator, the contractor is left with few options. It often means that people are pulled from another job and overtime almost assuredly climbs. A job schedu","apprentice, backlog, shortage, turnaround, workforce, workforce develop",Coaching & Consulting
For Construction Pros,Construction Documentation Gaps Can Turn Project Issues into Disputes,https://www.forconstructionpros.com/business/business-services/business-management/article/22974081/newforma-inc-construction-documentation-gaps-can-turn-project-issues-into-disputes,"Sat, 19 Sep 2026 11:30:00 -0500",Carl Veillette,"A subcontractor calls and mentions a wall assembly changed mid-construction. Nobody remembers approving it. The architect says the issued drawings never reflected the change. The general contractor says the approval went out by email back in March. Six months later, everyone's got a confident version of events. Nobody's got a complete record. That's how a manageable project issue turns into a disp","BIM, retire, software",Business
Construction Business Owner,Construction Starts Fall Back 24.8% in August,https://www.constructionbusinessowner.com/27006-2/,"Mon, 21 Sep 2026 18:17:47 +0000",CBO Editorial Staff,"BOSTON (Sept. 21, 2026) — Total construction starts declined 24.8% in August to a seasonally adjusted annual rate of $1.34 trillion, according to Dodge Construction Network . Nonresidential building starts fell 32.0% over the month, residential starts decreased 5.2%, and nonbuilding declined by 26.7%. On a year-to-date basis, total construction starts were up 15.2% through August. Nonresidential s","data center, shortage",construction starts
Construction Business Owner,CNH Construction Announces Kris Dahl Will Succeed Terry Dolan,https://www.constructionbusinessowner.com/cnh-construction-announces-kris-dahl-will-succeed-terry-dolan/,"Mon, 21 Sep 2026 16:13:44 +0000",CBO Editorial Staff,"RACINE, Wis. (Sept. 18, 2026) — CNH Construction announced that Kris Dahl will succeed Terry Dolan leading the North America Commercial business as Dolan prepares for his planned retirement at the end of 2026. Dahl brings 25 years of global experience spanning commercial leadership, operations, technology and product development in the heavy equipment industry. He joins CNH and the CASE Constructi",retire,CASE CE
Construction Business Owner,New Cat Simulators Next Gen Excavator Utilities Package Teaches Operators to Use an Excavator for Utility Servicing,https://www.constructionbusinessowner.com/new-cat-simulators-next-gen-excavator-utilities-package-teaches-operators-to-use-an-excavator-for-utility-servicing/,"Wed, 16 Sep 2026 21:35:53 +0000",CBO Editorial Staff,"PEORIA, Ill. (Sept. 9, 2026) — Simformotion LLC, a provider of heavy equipment simulator training solutions, announces the release of the new Cat Simulators Next Gen Excavator Underground Utilities package. This exercise package prepares heavy equipment operators for the challenging and often hazardous tasks involved in underground utility excavation. Set in a realistic construction-site environme","accuracy, software, training program, workforce",Cat Simulators
Construction Business Owner,Dodge Momentum Index Flat in August,https://www.constructionbusinessowner.com/dodge-momentum-index-flat-in-august/,"Wed, 09 Sep 2026 14:04:30 +0000",CBO Editorial Staff,"BOSTON (Sept. 8, 2026) — The Dodge Momentum Index (DMI), issued by Dodge Construction Network, ticked down 0.4% in August to 282.0 (2000=100) from the downwardly revised July reading of 283.0. Over the month, commercial planning declined 3.0% and institutional planning grew 4.9%. “Strength in planning momentum remained relatively broad-based in August,” said Sarah Martin, director of economic rese",data center,data centers
Construction Business Owner,All Within My Hands Partners With CNH to Auction Final Hetfield Limited Edition CASE Compact Track Loader,https://www.constructionbusinessowner.com/hetfieldloader/,"Fri, 04 Sep 2026 16:51:25 +0000",CBO Editorial Staff,"SAN RAFAEL, Calif. (Sept. 4, 2026) — Metallica’s foundation, All Within My Hands , is partnering with CASE Construction Equipment , a brand of CNH, to celebrate Labor Day in support of skilled trade education programs. This Labor Day weekend, edition No. 1 of 25 “Hetskid” — The James Hetfield-inspired CASE compact track loader — will be available for bidding via the Purple Wave auction site. “Thes","bid, bidding, workforce",auction
Construction Business Owner,"ABC: Construction Job Openings Up by 28,000 to Near-2-Year High in July",https://www.constructionbusinessowner.com/abc-construction-job-openings-up-by-28000-to-near-2-year-high-in-july/,"Tue, 01 Sep 2026 21:12:33 +0000",Carmen Capoccia,"WASHINGTON (Sept. 1, 2026) — The construction industry had 326,000 job openings on the last day of July, according to an Associated Builders and Contractors (ABC) analysis of data from the U.S. Bureau of Labor Statistics’ Job Openings and Labor Turnover Survey. JOLTS defines a job opening as any unfilled position for which an employer is actively recruiting. Industry job openings increased by 28,0","data center, shortage",ABC
Construction Business Owner,Former Maryland Secretary of Labor Named ABC VP of Workforce & Safety Policy,https://www.constructionbusinessowner.com/26678-2/,"Mon, 31 Aug 2026 14:26:37 +0000",Carmen Capoccia,"WASHINGTON (Aug. 31, 2026) — Associated Builders and Contractors (ABC) announced that Tiffany Robinson has joined the association as its vice president of workforce and safety policy. Robinson brings deep experience in executive leadership, workforce development, public policy and infrastructure to ABC. As a member of ABC’s executive leadership team, Robinson will lead research, policy and strateg","apprentice, workforce, workforce develop",
AGC News,"Construction Sheds 3,000 Jobs in August; Gains Are Limited To Homebuilding As Other Contractors Struggle To Fill Both Craft And Salaried Positions",https://www.agc.org/news/2021/09/03/construction-sheds-3000-jobs-august-gains-are-limited-homebuilding-other-contractors,"Fri, 03 Sep 2021 15:08:36 +0000",sophia.valentino@agc.org,"Construction Sheds 3,000 Jobs in August; Gains Are Limited To Homebuilding As Other Contractors Struggle To Fill Both Craft And Salaried Positions Fri, 09/03/2021 - 07:00 sophia.valenti… Fri, 09/03/2021 - 11:08 am Association Officials Urge Congress to Finish Work on Bipartisan Infrastructure Bill to Boost Demand for Nonresidential Construction and Fund Career and Technical Education Programs to A","craft worker, shortage, workforce",
AGC News,Construction Workforce Shortages Reach Pre-pandemic Levels Even as Coronavirus Continues to Impact Projects & Disrupt Supply Chains,https://www.agc.org/news/2021/09/02/construction-workforce-shortages-reach-pre-pandemic-levels-even-coronavirus,"Thu, 02 Sep 2021 13:42:31 +0000",macrina.wilkins@agc.org,"Construction Workforce Shortages Reach Pre-pandemic Levels Even as Coronavirus Continues to Impact Projects & Disrupt Supply Chains Thu, 09/02/2021 - 05:45 macrina.wilkin… Thu, 09/02/2021 - 9:42 am Eighty-Nine Percent of Contractors Are Having a Hard Time Finding Craft Workers, While 88 Percent of Firms Are Experiencing Project Delays and 93 Percent Are Affected by Rising Materials Prices Construc","bid, craft worker, digital, shortage, software, training program, workforce, workforce develop",
AGC News,"Construction Spending Posts Small Increase In July, But Coronavirus, Soaring Costs, And Supply Disruptions Threaten To Erase Further Gains",https://www.agc.org/news/2021/09/01/construction-spending-posts-small-increase-july-coronavirus-soaring-costs-and-supply,"Wed, 01 Sep 2021 16:27:51 +0000",sophia.valentino@agc.org,"Construction Spending Posts Small Increase In July, But Coronavirus, Soaring Costs, And Supply Disruptions Threaten To Erase Further Gains Wed, 09/01/2021 - 08:30 sophia.valenti… Wed, 09/01/2021 - 12:27 pm Construction Officials Note Spending Figures Foreshadow New Data the Association is Releasing Tomorrow Shoring the Ongoing Impacts of the Coronavirus on the Construction Workforce and Demand Tot","workforce, workforce develop",
ConstructConnect Blog,4 Keys to Building a Strong 2027 Plan: A Guide for Manufacturing Teams,https://www.constructconnect.com/blog/4-keys-to-building-a-strong-2027-plan-a-guide-for-manufacturing-teams,"Thu, 24 Sep 2026 15:51:44 GMT",Deirdre.Pearson@constructconnect.com (Deirdre Pearson),"In short: A good 2027 plan in construction doesn't roll last year's sales number forward with a growth percentage tacked on. National growth averages might be hiding what's actually happening in your territory. Segment by geography and sector before you trust an industry-wide number. Waiting for the ""perfect"" plan costs you the time you don't have. Build early-stage project visibility into your pi",ConstructConnect,Commercial Construction Data
ConstructConnect Blog,"How Often Do Drawings, Specs, and Addenda Conflict in Commercial Construction Bidding?",https://www.constructconnect.com/blog/how-often-do-drawings-specs-and-addenda-conflict-in-commercial-construction-bidding,"Tue, 22 Sep 2026 17:56:54 GMT",Deirdre.Pearson@constructconnect.com (Deirdre Pearson),"In short: Most commercial bid packages pick up at least one addendum between the original document release and bid day. Scope-related disagreements were the most common causes of disputed construction projects globally in 2025. Larger commercial packages and projects that go to bid on less-finished documents tend to pick up more addenda. Mismatches between the drawing set and the spec book, not dr","bid, bidding",The Preconstruction Playbook
ConstructConnect Blog,How to Evaluate a Construction Data Platform: A Practical Guide,https://www.constructconnect.com/blog/how-to-evaluate-a-construction-data-platform-a-practical-guide,"Thu, 17 Sep 2026 20:18:18 GMT",johnny.bradigan@constructconnect.com (Johnny Bradigan),"In Short: Evaluate platforms by relevant opportunities, data accuracy, usability, analytics, and workflow fit. Live pilots reveal improvements in research speed, bid decisions, pipeline relevance, and revenue activity. ConstructConnect® Project Intelligence is one platform that combines daily updates, targeted filters, AI tools, dashboards, and integrations.","ConstructConnect, accuracy, bid",Commercial Construction Data
ConstructConnect Blog,How to Find and Bid on Public Construction Projects in 2027,https://www.constructconnect.com/blog/how-to-find-and-bid-on-public-construction-projects-in-2027,"Thu, 17 Sep 2026 15:06:58 GMT",Deirdre.Pearson@constructconnect.com (Deirdre Pearson),"In short: How it works: Bidding on a government construction project means registering as an eligible vendor ( SAM.gov for federal, a separate portal for most state and local work), then submitting a compliant bid through a formal invitation for bid (IFB), request for proposal (RFP), or request for qualifications (RFQ) process. Public budgets move on a different clock than private financing: Gover","bid, bidding",Commercial Construction Data
ConstructConnect Blog,What Should Estimators Do When Product Specifications and Drawings Conflict?,https://www.constructconnect.com/blog/product-specs-and-drawings-conflict,"Mon, 14 Sep 2026 14:51:30 GMT",Maila Kim,In short:,estimat,The Preconstruction Playbook
ConstructConnect Blog,What AI Still Gets Wrong About Preconstruction,https://www.constructconnect.com/blog/what-ai-still-gets-wrong-about-preconstruction,"Mon, 31 Aug 2026 12:38:11 GMT",Maila Kim,"This Q&A is a companion to AI in Preconstruction: Why Rewiring Matters More Than Speed , where Gaurav Singal makes the case for getting the foundation right before chasing AI speed.",preconstruction,Construction AI Technology
ConstructConnect Blog,The Specification Data That Should Drive Your 2027 Plan,https://www.constructconnect.com/blog/the-specification-data-that-should-drive-your-2027-plan,"Fri, 28 Aug 2026 15:47:10 GMT",Deirdre.Pearson@constructconnect.com (Deirdre Pearson),"In short: The Specification Positioning dashboard in ConstructConnect® Analytics shows building product manufacturers (BPMs) exactly where their products are being specified, which architects are driving activity, and where competitors are winning ground. Specification share is the upstream metric for market position: by the time specification decisions surface in bids, the window to influence the","ConstructConnect, bid, estimat",Commercial Construction Data
ConstructConnect Blog,Bid Pipeline Health: 5 Metrics for Commercial GCs in 2026,https://www.constructconnect.com/blog/bid-pipeline-health-commercial-gcs-in-2026,"Fri, 28 Aug 2026 13:00:02 GMT",Maila Kim,In short :,bid,The Preconstruction Playbook
MCAA News,Congratulations to the Graduates of IPM Classes 97 and 98,https://www.mcaa.org/congratulations-to-the-graduates-of-ipm-classes-97-and-98/,"Thu, 24 Sep 2026 21:17:41 +0000",Adrienne,"Congratulations are in order for our newest Institute for Project Management (IPM) graduates! Classes 97 and 98 recently wrapped up the second week of IPM in Austin, completing two weeks of intensive, hands-on education alongside fellow project managers from MCAA member companies across the country. These PMs spent the week digging into the many challenges and opportunities that come with managing",change order,Uncategorized
MCAA News,A New Name. A Fresh Spark. A Broader Conversation.,https://www.mcaa.org/a-new-name-a-fresh-spark-a-broader-conversation/,"Thu, 24 Sep 2026 17:36:31 +0000",Adrienne,"The conference formerly known as the Industry Funds Conference has a new name and an expanded focus. Introducing the Industry Fund & Leadership Conference. While the conference will continue to cover all things Industry Funds, we’re broadening the conversation to include the issues, trends, and challenges leaders face every day, all with a direct connection to our industry. Join us December 2-4, 2",workforce,Uncategorized
MCAA News,Join Industry Leaders at the 2026 UA/MCAA Mental Health Summit,https://www.mcaa.org/join-industry-leaders-at-the-2026-ua-mcaa-mental-health-summit/,"Thu, 24 Sep 2026 15:38:17 +0000",Adrienne,"Registration is now open for the 2026 UA/MCAA Mental Health Summit, a collaborative event that will bring together MCAA members, United Association (UA) representatives, safety and health professionals, association leaders, and subject matter experts to address one of the industry’s most important challenges: mental health. The Summit will provide a forum for meaningful conversations about the men","workforce, workforce develop",Uncategorized
MCAA News,Murray Company Names Ryan Cavanaugh President/CEO,https://www.mcaa.org/murray-company-names-ryan-cavanaugh-president-ceo/,"Wed, 23 Sep 2026 20:18:06 +0000",Adrienne,"Murray Company has announced the promotion of Ryan Cavanaugh to President and Chief Executive Officer, effective January 1, 2027. Cavanaugh currently serves as President, Southern California and will succeed Jim DeFlavio, who will transition from Chairman and CEO to Executive Chairman of the Board. The leadership transition is the result of a long-term succession planning effort conducted in partn",mechanical contractor,Uncategorized
MCAA News,Merit Brass Announces Leadership Transition; Darren Hilliard Named President & CEO,https://www.mcaa.org/merit-brass-announces-leadership-transition-darren-hilliard-named-president-ceo/,"Wed, 23 Sep 2026 18:57:35 +0000",Adrienne,"Merit Brass Company, an MCAA member, has announced a planned leadership transition that will take effect October 1, 2026, as Darren Hilliard assumes the role of president and chief executive officer. The transition is part of a long-term succession plan developed to ensure leadership continuity and support the company’s continued growth. Longtime Co-CEOs Alan Lipp and Marc Schlessinger will retire","piping, retire",Uncategorized
MCAA News,Find the Latest from SLOAN and The Ridge Tool Company in MCAA’s Virtual Trade Show,https://www.mcaa.org/find-the-latest-from-sloan-and-the-ridge-tool-company-in-mcaas-virtual-trade-show/,"Tue, 22 Sep 2026 16:12:58 +0000",Adrienne,"MCAA’s Virtual Trade Show connects our contractor members with MCAA’s Manufacturer/Supplier members. Participating companies highlight and link to new products, product lines, services, solutions or web pages of particular interest. Here are just a few of the recent additions: DropSpot Bottle Fillers and Water Coolers Sloan’s DropSpot solutions can be IoT-enabled with the SC Argus® Pro Smart Syste",mechanical contractor,Uncategorized
